species,lon,lat,group
arabis,18.22089,68.13071,11
arabis,18.55514,68.51355,11
arabis,18.26125,68.12599,11
arabis,18.26838,68.13602,11
arabis,18.20097,68.23773,11
arabis,16.13754,66.64845,11
arabis,18.91574,68.28466,11
arabis,17.65212,59.1961,11
arabis,7.336466,45.580284,11
arabis,14.353681,47.650326,11
arabis,17.918701,67.222649,11
arabis,12.934685,47.548264,11
arabis,11.979729,46.711803,11
arabis,3.410933,44.365788,11
arabis,10.584812,47.568535,11
arabis,10.503874,47.467964,11
arabis,10.302773,47.5252,11
arabis,6.542546,61.012581,11
arabis,10.340238,47.547089,11
arabis,13.971976,47.246613,11
arabis,9.170535,46.495972,11
arabis,11.255836,47.407181,11
arabis,10.35676,47.485367,11
arabis,10.246702,46.669453,11
arabis,11.608686,46.504391,11
arabis,10.394268,47.553883,11
arabis,10.412292,47.421001,11
arabis,10.11137,47.366966,11
arabis,12.328548,47.708492,11
arabis,9.343357,47.249699,11
arabis,10.574684,47.490761,11
arabis,12.496498,47.118999,11
arabis,8.508911,47.808773,11
arabis,10.376458,47.517723,11
arabis,11.81571,46.570663,11
arabis,10.093679,46.907181,11
arabis,10.411949,47.478233,11
arabis,12.596082,47.694336,11
arabis,7.455359,49.387062,11
arabis,14.320973,47.782448,11
arabis,7.1104,59.5054,11
arabis,18.61881,68.16649,11
arabis,18.68273,68.15804,11
arabis,18.16818,68.21606,11
arabis,18.80927,68.17657,11
arabis,18.33459,68.30835,11
arabis,18.20721,68.39202,11
arabis,16.51244,67.06819,11
arabis,16.48015,67.05387,11
arabis,17.85211,66.89829,11
arabis,16.60481,67.28299,11
arabis,16.62623,67.30105,11
arabis,16.59541,67.2371,11
arabis,16.64077,67.25029,11
arabis,16.23997,66.339,11
arabis,17.06086,66.68643,11
arabis,15.98186,66.23056,11
arabis,16.06637,66.24062,11
arabis,16.18961,66.62059,11
arabis,16.01471,66.24184,11
arabis,16.99462,66.88291,11
arabis,16.81766,66.6596,11
arabis,14.66518,65.25267,11
arabis,15.20895,66.19305,11
arabis,16.86164,66.67026,11
arabis,16.86583,66.64127,11
arabis,16.75939,67.3139,11
arabis,16.52219,67.42099,11
arabis,16.47587,67.359,11
arabis,16.13678,66.68116,11
arabis,15.13174,65.16651,11
arabis,16.0927,66.58321,11
arabis,17.03445,66.68835,11
arabis,17.0334,67.27007,11
arabis,18.11394,68.42816,11
arabis,18.92331,68.27608,11
arabis,18.73332,68.48996,11
arabis,18.65846,68.39026,11
arabis,20.15626,69.01983,11
arabis,20.18213,69.01925,11
arabis,20.23957,69.0033,11
arabis,20.21281,69.0165,11
arabis,14.68931,65.86952,11
arabis,16.07844,66.26947,11
arabis,15.85222,66.76664,11
arabis,15.10296,64.83779,11
arabis,16.52915,66.25471,11
arabis,20.30038,69.00464,11
arabis,20.24405,69.01949,11
arabis,15.57294,66.36454,11
arabis,12.32479,63.25641,11
arabis,18.8731,68.45527,11
arabis,19.48504,68.21767,11
arabis,18.75696,68.32833,11
arabis,15.09963,65.14705,11
arabis,18.3319,67.81683,11
arabis,18.76652,68.35652,11
arabis,6.42375,45.060833,11
arabis,21.090395,69.366079,11
arabis,9.676053,62.315261,11
arabis,-19.892621,63.720835,11
arabis,7.40617,46.34388,11
arabis,6.435,60.226112,11
arabis,-2.931053,37.089825,11
arabis,20.73161,67.89143,11
arabis,18.67871,68.40127,11
arabis,-0.56497,43.07837,11
arabis,2.56743,42.8658,11
arabis,0.69994,42.93861,11
arabis,7.5502,60.6091,11
arabis,20.75025,48.102578,11
arabis,-0.355574,43.004618,11
arabis,-2.943907,43.219691,11
arabis,7.608612,46.909811,11
arabis,11.669456,46.533521,11
arabis,11.799755,46.654103,11
arabis,20.777094,40.617722,11
arabis,6.937545,47.097576,11
arabis,10.733011,47.549812,11
arabis,6.537872,44.954427,11
arabis,11.121815,46.074835,11
arabis,14.063436,50.668076,11
arabis,12.76,46.98,11
arabis,6.10236,44.90403,11
arabis,6.94605,45.59785,11
arabis,6.33657,44.90508,11
arabis,6.8612,45.45686,11
